claim_id,policy_id,customer_id,adjuster_id,claim_date,claim_type,claim_amount,claim_status,days_to_settle,fraud_flag,fraud_score,region
1,5425,4112,5,2022-01-03,Home,13043.0,Denied,31,0,0.9,South
2,3593,1375,16,2023-07-12,Auto,16361.0,Approved,4,0,0.03,South
3,6873,4722,21,2025-04-03,Auto,1655.0,Approved,4,0,0.62,South
4,6013,3318,36,2024-11-19,Home,8066.0,Approved,10,0,0.12,South
5,4955,4496,19,2021-10-22,Home,5304.0,Approved,12,0,0.2,South
6,2858,4963,30,2024-09-14,Life,16070.0,Approved,61,0,0.86,South
7,2424,1707,21,2021-09-27,Auto,473.0,Approved,14,0,0.42,South
8,7874,3306,8,2024-02-25,Home,2669.0,Approved,30,0,0.76,South
9,1958,2999,34,2022-06-06,Home,18185.0,Approved,50,0,0.58,South
10,1318,2862,15,2023-06-12,Home,3655.0,Approved,8,0,0.38,South
11,492,2070,6,2023-02-17,Life,7745.0,Approved,15,0,0.36,South
12,413,2391,26,2024-12-18,Home,6053.0,Denied,12,0,0.71,South
13,6251,4061,6,2022-12-02,Auto,15030.0,Approved,56,0,0.03,South
14,1042,3560,10,2021-07-22,Auto,6720.0,Approved,23,0,0.58,South
15,4748,840,14,2025-04-14,Home,14405.0,Denied,38,0,0.99,South
16,3489,1622,1,2025-02-06,Life,10230.0,Approved,12,1,0.7,South
17,6305,2248,15,2025-11-23,Home,12734.0,Denied,4,0,0.08,South
18,7391,903,39,2022-08-30,Home,5516.0,Denied,59,0,0.98,South
19,652,3751,4,2025-04-01,Auto,2750.0,Denied,53,0,0.74,South
20,5490,4971,26,2024-02-24,Auto,17056.0,Denied,40,0,0.42,South
21,6745,18,31,2022-05-08,Auto,4489.0,Denied,22,0,0.48,South
22,570,3359,5,2022-07-13,Auto,8568.0,Approved,53,0,0.47,South
23,3436,2657,6,2021-11-01,Home,10458.0,Approved,57,0,0.91,South
24,1179,1706,31,2024-06-06,Auto,17794.0,Approved,55,0,0.66,South
25,5481,2542,37,2024-11-10,Life,9628.0,Denied,59,0,0.66,South
26,7859,2000,25,2022-02-20,Home,11227.0,Approved,55,0,0.87,South
27,454,3893,3,2021-06-30,Home,4553.0,Denied,25,0,0.82,South
28,5531,4349,39,2022-07-14,Auto,7999.0,Approved,33,0,0.15,South
29,3819,1182,29,2024-05-13,Auto,12345.0,Denied,27,0,0.12,South
30,3631,3534,23,2022-10-30,Life,10577.0,Approved,3,0,0.83,South
