policy_id,customer_id,policy_type,policy_start_date,policy_end_date,annual_premium,agent_id,region,renewed_flag
1,4851,Home,2023-01-16,2024-11-05,1578.0,116,South,Yes
2,3950,Auto,2022-03-26,2025-04-05,1211.0,52,South,Yes
3,4617,Home,2023-12-12,2025-09-08,2119.0,100,South,No
4,3344,Auto,2023-01-06,2025-04-22,956.0,118,South,Yes
5,4604,Auto,2022-03-01,2025-08-24,2555.0,65,South,Yes
6,3754,Life,2023-11-15,2024-08-01,1359.0,41,South,Yes
7,4871,Auto,2022-07-16,2023-06-15,2165.0,92,South,Yes
8,3742,Auto,2023-04-02,2022-10-14,970.0,32,South,Yes
9,3375,Home,2021-03-05,2025-10-11,2754.0,102,South,Yes
10,2457,Home,2024-05-07,2022-04-03,1264.0,75,South,Yes
11,542,Home,2022-01-06,2022-02-02,2429.0,42,South,Yes
12,4265,Home,2021-05-08,2023-11-20,1201.0,1,South,Yes
13,1960,Life,2024-03-04,2025-09-07,2339.0,110,South,No
14,4267,Home,2022-05-18,2022-07-02,2077.0,108,South,Yes
15,1776,Auto,2024-05-26,2023-02-04,1007.0,13,South,Yes
16,3368,Auto,2022-08-20,2023-06-03,1068.0,55,South,Yes
17,4017,Home,2021-03-22,2023-11-15,2027.0,78,South,Yes
18,3356,Auto,2021-04-19,2022-11-01,1236.0,19,South,Yes
19,667,Home,2024-06-04,2023-11-22,981.0,89,South,Yes
20,1504,Home,2021-08-06,2023-07-15,1903.0,108,South,Yes
21,2429,Home,2021-05-25,2023-07-25,1555.0,67,South,Yes
22,1828,Auto,2021-08-08,2023-02-14,2214.0,68,South,No
23,440,Home,2022-03-05,2024-08-24,1201.0,94,South,No
24,1077,Home,2024-11-23,2023-02-20,1667.0,52,South,No
25,409,Home,2022-08-29,2025-09-24,1654.0,5,South,Yes
26,2048,Auto,2023-05-20,2023-09-01,1844.0,75,South,Yes
27,4012,Life,2024-02-29,2022-10-21,1328.0,65,South,Yes
28,2218,Auto,2024-02-29,2024-10-18,2141.0,59,South,Yes
29,3447,Auto,2023-10-02,2022-11-03,1623.0,115,South,Yes
30,3766,Auto,2021-09-18,2022-09-10,2783.0,63,South,Yes
31,3635,Auto,2021-05-21,2024-02-25,3187.0,24,South,Yes
32,1951,Home,2024-08-29,2025-07-22,2261.0,95,South,Yes
33,744,Home,2023-02-27,2022-11-11,1238.0,85,South,Yes
34,1256,Auto,2022-05-10,2023-01-13,2282.0,42,South,Yes
35,779,Auto,2021-01-20,2025-02-04,2174.0,8,South,Yes
36,113,Home,2022-07-05,2025-10-13,2116.0,70,South,Yes
37,2605,Life,2023-12-11,2025-04-25,2156.0,47,South,No
38,2284,Home,2024-04-19,2025-03-20,1977.0,120,South,No
39,3959,Auto,2022-10-07,2024-09-09,1292.0,77,South,Yes
40,2618,Home,2021-04-12,2024-10-11,5630.0,27,South,Yes
41,1109,Home,2022-07-06,2023-01-10,1840.0,67,South,Yes
42,2286,Auto,2022-10-28,2022-06-29,1769.0,42,South,No
43,2683,Auto,2023-10-13,2023-02-10,642.0,13,South,No
44,571,Auto,2021-06-13,2023-12-04,1547.0,15,South,Yes
45,3435,Home,2021-05-02,2024-09-07,1474.0,55,South,Yes
46,4913,Home,2022-04-22,2024-08-06,3296.0,120,South,Yes
47,4049,Home,2023-06-19,2024-09-18,2985.0,69,South,Yes
48,1678,Auto,2022-01-10,2022-06-30,1183.0,28,South,Yes
49,178,Auto,2023-02-27,2024-10-25,4427.0,66,South,Yes
50,4414,Auto,2023-01-02,2025-03-14,1267.0,115,South,Yes
51,4183,Auto,2021-08-16,2025-06-29,1401.0,79,South,Yes
52,4272,Auto,2021-11-07,2022-10-02,1729.0,2,South,Yes
53,2035,Health,2021-07-07,2023-03-06,2266.0,36,South,Yes
54,2970,Auto,2023-02-12,2022-05-28,1351.0,16,South,Yes
55,951,Home,2023-11-14,2024-12-28,2082.0,24,South,No
56,2526,Auto,2023-06-28,2024-10-05,2108.0,82,South,Yes
57,2825,Auto,2024-07-07,2025-02-09,607.0,77,South,Yes
58,4335,Auto,2021-06-23,2022-03-28,980.0,18,South,Yes
59,84,Home,2021-01-11,2025-09-18,1957.0,119,South,Yes
60,459,Auto,2024-04-15,2024-03-09,1549.0,25,South,No
61,1648,Auto,2023-06-14,2024-11-30,1804.0,80,South,Yes
62,3099,Home,2024-11-25,2022-06-15,3541.0,56,South,No
63,165,Auto,2021-06-13,2025-01-24,1823.0,90,South,Yes
64,4749,Home,2024-08-23,2022-12-31,3278.0,5,South,No
65,3818,Auto,2022-05-10,2024-05-16,2016.0,7,South,Yes
66,1283,Home,2021-05-18,2024-01-29,1474.0,65,South,No
67,4549,Home,2023-04-24,2022-10-27,1700.0,90,South,No
68,900,Auto,2023-09-15,2025-05-20,2423.0,97,South,No
69,3142,Auto,2023-03-21,2022-06-18,2269.0,22,South,Yes
70,1437,Auto,2023-01-15,2025-02-27,2544.0,94,South,Yes
71,2239,Auto,2024-03-12,2025-05-17,1324.0,70,South,Yes
72,2860,Home,2021-07-13,2022-07-24,6990.0,119,South,Yes
73,3998,Auto,2023-11-04,2022-08-21,2198.0,108,South,Yes
74,732,Auto,2024-11-22,2023-04-28,1203.0,50,South,Yes
75,2593,Auto,2022-05-12,2024-06-09,2866.0,90,South,Yes
76,476,Home,2023-09-28,2025-07-31,1004.0,84,South,Yes
77,2863,Home,2021-06-19,2022-08-13,1839.0,69,South,Yes
78,1902,Auto,2024-11-27,2024-05-13,2254.0,34,South,Yes
79,4833,Home,2024-01-12,2024-09-09,2108.0,21,South,No
80,500,Home,2022-05-11,2023-05-09,2231.0,61,South,Yes
81,1088,Life,2021-05-09,2023-08-04,1605.0,113,South,No
82,3649,Auto,2023-11-15,2023-09-06,1119.0,104,South,Yes
83,2352,Life,2022-01-19,2025-08-28,2679.0,47,South,Yes
84,4395,Life,2024-02-29,2024-10-18,2826.0,120,South,No
85,4160,Home,2022-02-11,2024-12-18,3534.0,93,South,No
86,793,Home,2021-01-01,2024-08-25,2355.0,98,South,No
87,4882,Auto,2023-02-08,2023-07-05,1630.0,43,South,No
88,135,Home,2023-08-05,2022-07-05,2462.0,75,South,Yes
89,3336,Home,2024-12-29,2024-06-13,2206.0,96,South,Yes
90,4112,Home,2022-02-24,2025-11-21,1428.0,58,South,No
91,2568,Home,2022-03-17,2023-05-07,3333.0,76,South,Yes
92,2590,Home,2023-01-10,2023-11-24,1572.0,33,South,No
93,2137,Auto,2023-12-19,2025-12-06,1090.0,6,South,Yes
94,2922,Auto,2022-01-26,2022-04-05,1326.0,5,South,Yes
95,2389,Home,2021-01-15,2024-03-11,3357.0,114,South,Yes
